iter	Passed	Remaining
0	154	154128
1	155	77827
2	157	52342
3	159	39602
4	160	31965
5	162	26867
6	163	23219
7	165	20530
8	168	18509
9	169	16806
10	171	15403
11	172	14235
12	174	13241
13	175	12391
14	177	11655
15	179	11019
16	180	10452
17	182	9944
18	183	9489
19	185	9081
20	186	8711
21	188	8375
22	189	8067
23	191	7784
24	193	7535
25	194	7294
26	196	7071
27	197	6864
28	199	6670
29	200	6490
30	202	6321
31	203	6164
32	205	6016
33	206	5880
34	208	5748
35	210	5625
36	211	5507
37	213	5396
38	214	5290
39	216	5189
40	217	5093
41	219	5002
42	221	4923
43	222	4839
44	224	4758
45	225	4682
46	227	4608
47	228	4538
48	230	4470
49	231	4405
50	233	4343
51	235	4286
52	236	4228
53	238	4172
54	239	4117
55	241	4065
56	242	4016
57	244	3968
58	245	3921
59	247	3875
60	249	3834
61	250	3792
62	252	3751
63	253	3711
64	255	3671
65	256	3633
66	258	3596
67	259	3560
68	261	3525
69	263	3502
70	265	3472
71	267	3441
72	268	3410
73	270	3387
74	272	3358
75	273	3329
76	275	3301
77	276	3273
78	278	3245
79	279	3219
80	281	3192
81	283	3170
82	284	3144
83	286	3121
84	287	3098
85	289	3075
86	290	3052
87	292	3030
88	293	3008
89	295	2987
90	296	2966
91	298	2946
92	300	2926
93	301	2907
94	303	2887
95	304	2869
96	306	2850
97	307	2831
98	309	2813
99	310	2795
100	312	2780
101	313	2764
102	315	2747
103	317	2731
104	318	2715
105	320	2700
106	321	2685
107	323	2669
108	324	2655
109	326	2643
110	328	2633
111	331	2625
112	332	2613
113	334	2602
114	336	2589
115	338	2576
116	339	2560
117	341	2550
118	342	2538
119	344	2526
120	346	2513
121	347	2499
122	348	2487
123	350	2475
124	351	2463
125	353	2452
126	354	2438
127	356	2428
128	358	2419
129	359	2408
130	361	2397
131	362	2386
132	364	2375
133	365	2364
134	367	2354
135	368	2343
136	370	2333
137	372	2324
138	373	2315
139	375	2305
140	376	2295
141	377	2283
142	379	2273
143	380	2264
144	382	2255
145	383	2245
146	385	2236
147	386	2227
148	388	2218
149	390	2210
150	391	2201
151	393	2192
152	394	2184
153	396	2175
154	397	2167
155	399	2159
156	400	2151
157	402	2143
158	403	2135
159	405	2127
160	406	2117
161	407	2109
162	409	2101
163	410	2094
164	412	2086
165	414	2079
166	415	2072
167	416	2065
168	418	2058
169	420	2051
170	421	2043
171	423	2036
172	424	2030
173	426	2023
174	428	2017
175	429	2010
176	431	2004
177	432	1997
178	434	1990
179	435	1984
180	437	1977
181	438	1971
182	440	1965
183	441	1959
184	443	1952
185	444	1946
186	446	1940
187	447	1934
188	449	1928
189	451	1924
190	452	1918
191	454	1912
192	455	1906
193	457	1900
194	458	1894
195	460	1888
196	461	1883
197	463	1877
198	464	1871
199	466	1865
200	467	1860
201	469	1856
202	471	1850
203	472	1845
204	474	1840
205	476	1834
206	477	1829
207	479	1823
208	480	1818
209	482	1813
210	483	1809
211	485	1804
212	486	1799
213	488	1793
214	489	1788
215	491	1783
216	492	1778
217	494	1773
218	495	1768
219	497	1765
220	499	1761
221	501	1757
222	502	1752
223	504	1747
224	505	1742
225	507	1737
226	508	1732
227	510	1729
228	512	1724
229	513	1719
230	515	1715
231	516	1710
232	518	1706
233	519	1701
234	521	1697
235	522	1692
236	524	1688
237	525	1683
238	527	1679
239	528	1674
240	530	1670
241	531	1666
242	533	1661
243	534	1657
244	536	1653
245	538	1650
246	540	1646
247	541	1642
248	543	1638
249	544	1634
250	546	1630
251	547	1626
252	549	1623
253	551	1619
254	552	1615
255	554	1611
256	556	1607
257	557	1603
258	559	1599
259	560	1595
260	562	1591
261	563	1588
262	565	1585
263	567	1581
264	568	1577
265	570	1573
266	571	1569
267	573	1565
