iter	Passed	Remaining
0	159	159711
1	162	81157
2	164	54730
3	167	41616
4	169	33779
5	172	28502
6	178	25357
7	180	22395
8	183	20150
9	185	18317
10	186	16803
11	191	15752
12	193	14689
13	195	13800
14	197	12987
15	199	12270
16	201	11630
17	204	11151
18	206	10678
19	208	10212
20	210	9809
21	212	9440
22	214	9091
23	215	8770
24	219	8557
25	221	8295
26	223	8047
27	225	7827
28	227	7615
29	229	7414
30	231	7220
31	234	7094
32	236	6920
33	237	6755
34	240	6617
35	241	6471
36	243	6332
37	245	6203
38	247	6097
39	249	5992
40	251	5882
41	253	5781
42	255	5682
43	257	5585
44	258	5492
45	261	5416
46	263	5347
47	265	5268
48	267	5189
49	269	5117
50	271	5045
51	272	4973
52	276	4933
53	277	4867
54	279	4805
55	281	4747
56	283	4689
57	285	4633
58	287	4578
59	290	4544
60	291	4494
61	293	4444
62	295	4397
63	297	4352
64	299	4306
65	301	4263
66	303	4229
67	305	4191
68	309	4170
69	311	4133
70	313	4097
71	315	4064
72	319	4056
73	321	4023
74	323	3986
75	325	3960
76	328	3932
77	329	3900
78	331	3867
79	336	3865
80	339	3847
81	341	3822
82	342	3782
83	344	3753
84	345	3724
85	348	3700
86	350	3678
87	352	3652
88	354	3629
89	356	3603
90	358	3577
91	359	3551
92	362	3532
93	365	3523
94	367	3500
95	369	3481
96	371	3460
97	373	3437
98	375	3415
99	377	3398
100	380	3383
101	381	3362
102	383	3342
103	386	3328
104	388	3308
105	389	3286
106	391	3268
107	394	3257
108	398	3256
109	400	3239
110	402	3221
111	404	3203
112	408	3204
113	411	3197
114	413	3181
115	415	3163
116	416	3143
117	418	3126
118	421	3120
119	423	3106
120	425	3091
121	428	3081
122	430	3066
123	431	3050
124	433	3035
125	437	3034
126	439	3019
127	441	3005
128	443	2992
129	446	2985
130	449	2980
131	455	2992
132	458	2986
133	460	2974
134	462	2961
135	464	2948
136	469	2959
137	472	2951
138	474	2938
139	476	2928
140	479	2920
141	481	2910
142	484	2904
143	486	2894
144	488	2882
145	490	2871
146	492	2858
147	494	2845
148	497	2840
149	499	2831
150	502	2823
151	503	2811
152	505	2799
153	507	2788
154	509	2776
155	513	2778
156	515	2768
157	517	2758
158	519	2747
159	521	2735
160	522	2721
161	523	2709
162	529	2719
163	534	2726
164	538	2726
165	542	2725
166	546	2724
167	548	2715
168	549	2703
169	551	2692
170	552	2680
171	554	2669
172	557	2665
173	559	2657
174	561	2646
175	562	2635
176	564	2625
177	566	2615
178	567	2604
179	569	2594
180	573	2596
181	575	2587
182	577	2579
183	579	2570
184	581	2561
185	583	2551
186	584	2542
187	588	2540
188	590	2532
189	592	2523
190	596	2528
191	598	2519
192	600	2512
193	606	2521
194	608	2513
195	610	2504
196	612	2496
197	614	2488
198	616	2479
199	619	2476
200	620	2468
201	622	2460
202	624	2452
203	626	2444
204	628	2437
205	630	2429
206	634	2429
207	636	2423
208	638	2417
209	640	2409
210	642	2402
211	644	2395
212	646	2388
213	649	2384
214	651	2378
215	654	2374
216	656	2367
217	657	2359
218	659	2352
219	662	2348
220	665	2344
221	667	2337
222	669	2331
223	670	2323
224	672	2316
225	674	2309
226	676	2304
227	678	2298
228	681	2295
229	684	2290
230	687	2287
231	689	2281
232	690	2274
233	693	2269
234	695	2262
235	696	2255
236	698	2249
237	700	2243
238	702	2238
239	706	2237
240	708	2232
241	710	2225
242	712	2220
243	714	2214
244	716	2208
245	718	2201
246	720	2196
247	723	2192
248	724	2186
249	726	2180
250	729	2176
251	731	2170
252	732	2164
253	734	2157
254	737	2155
255	739	2150
256	742	2145
257	744	2140
258	746	2134
259	748	2129
260	750	2125
261	753	2121
262	755	2115
263	759	2116
264	760	2110
265	763	2106
266	765	2101
267	769	2102
268	776	2108
269	777	2103
270	780	2098
271	782	2095
272	784	2089
273	787	2087
274	791	2085
275	793	2080
276	798	2083
277	800	2079
278	803	2076
279	806	2072
280	808	2067
281	813	2071
282	815	2066
283	817	2061
284	819	2055
285	821	2050
286	823	2045
287	825	2041
288	829	2041
289	831	2036
290	833	2031
291	836	2027
292	838	2022
293	844	2028
294	848	2028
295	850	2023
296	852	2018
297	854	2013
298	859	2014
299	861	2009
300	863	2004
301	864	1999
302	866	1994
303	869	1991
304	873	1990
305	875	1985
306	877	1980
307	879	1974
308	880	1969
309	882	1964
310	885	1960
311	887	1957
312	889	1952
313	891	1947
314	893	1943
315	895	1938
316	897	1933
317	899	1929
318	902	1925
319	904	1921
320	906	1916
321	908	1912
322	910	1909
323	912	1904
324	919	1908
325	922	1906
326	924	1903
327	926	1898
328	929	1895
329	935	1899
330	937	1894
331	940	1892
332	942	1888
333	944	1883
334	950	1886
335	953	1884
336	955	1880
337	957	1875
338	959	1871
339	963	1870
340	970	1875
341	974	1875
342	979	1876
343	981	1871
